TreeID,TreeHeight,TreeSpread,TreeNorth,TreeEast,FrmVigName,LocModName,TreeRem,TreePltDat,SpName,SpCmnName
AC0001,13,9,-31.9982064,115.8891681,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0002,20,18,-31.99821496,115.8875307,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0003,21,14,-31.99824832,115.8894728,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0004,21,13,-31.99823993,115.8881769,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0005,22,10,-31.99825768,115.890078,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0006,21,14,-31.99826767,115.8901951,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0007,22,12,-31.99826487,115.8892514,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0008,21,14,-31.99825776,115.8879753,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0009,21,11,-31.99827321,115.8895899,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0010,10,6,-31.99825504,115.8874168,Good form with good vigour,Perfect suitability,Existing,,Brachychiton populneus, 
AC0011,18,14,-31.9982607,115.888041,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0012,21,12,-31.99828802,115.890085,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0013,22,15,-31.99831085,115.8904815,Good form with average vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0014,22,10,-31.99830693,115.8898734,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0015,14,7,-31.99829001,115.8879331,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0016,21,13,-31.99829689,115.8886626,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0017,21,13,-31.99830896,115.8888998,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0018,22,14,-31.99831112,115.8891273,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0019,12,6,-31.99831863,115.889642,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0020,19,10,-31.99832141,115.8898122,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0021,8,5,-31.99830251,115.8873586,Good form with good vigour,Perfect suitability,Existing,,Brachychiton populneus, 
AC0022,22,12,-31.99831652,115.8882447,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0023,21,13,-31.99832225,115.8887639,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0024,17,10,-31.99833449,115.890152,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0025,16,7,-31.99832111,115.8882176,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0026,15,5,-31.99834016,115.8899986,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0027,22,10,-31.9983287,115.8878157,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0028,22,13,-31.99834108,115.8892276,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0029,12,5,-31.99834465,115.8894957,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0030,23,12,-31.99835642,115.8906545,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0031,14,6,-31.99833898,115.8878574,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0032,16,5,-31.9983424,115.88802,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0033,21,10,-31.99835201,115.8890425,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0034,4,5,-31.99834868,115.8883095,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Banksia species, 
AC0035,17,15,-31.99837078,115.8905165,Good form with good vigour,Could be better located but no problems,Existing,,Eucalyptus rudis, 
AC0036,21,11,-31.99836385,115.8896055,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0037,7,4,-31.99835629,115.888579,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Eucalyptus camaldulensis var. obtusa, 
AC0038,16,6,-31.99835286,115.8880561,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0039,7,6,-31.99834829,115.8872966,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Brachychiton populneus, 
AC0040,17,4,-31.99835327,115.8877998,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0041,20,5,-31.99835588,115.8878443,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0042,14,5,-31.99835897,115.8880863,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0043,22,15,-31.99838293,115.8907382,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0044,16,7,-31.99836424,115.8880301,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0045,14,8,-31.9983658,115.8880539,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0046,24,10,-31.99836594,115.887916,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0047,9,4,-31.99838427,115.8899229,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0048,21,8,-31.99836765,115.8878398,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0049,10,4,-31.99836742,115.8877814,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0050,11,3,-31.99836901,115.8877708,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0051,24,15,-31.9983761,115.8884941,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0052,20,11,-31.99838966,115.8898976,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0053,23,13,-31.99837714,115.8882748,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0054,0.8,2,-31.99837511,115.8877693,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0055,14,8,-31.99838155,115.8883953,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0056,15,3,-31.99837656,115.8877779,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0057,14,3,-31.99837718,115.8877803,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0058,12,8,-31.99838416,115.8885405,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Eucalyptus camaldulensis var. obtusa, 
AC0059,21,9,-31.9983922,115.8890168,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0060,12,5,-31.9983825,115.8877501,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0061,22,11,-31.99840643,115.8904741,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0062,18,7,-31.99838648,115.8881207,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0063,1,5,-31.99838558,115.8872386,Poor form with average vigour,Could be better located but no problems,Existing,,Eucalyptus caesia, 
AC0064,10,2,-31.99838567,115.8877969,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0065,14,3,-31.99839066,115.887799,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0066,14,3,-31.99839191,115.8878038,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0067,10,3,-31.99839277,115.887812,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0068,18,7,-31.99839549,115.8881018,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0069,10,3,-31.99839301,115.8877659,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0070,21,10,-31.99840833,115.889414,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0071,13,7,-31.99839717,115.88811,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0072,2,4,-32.00229429,115.8871736,Good vigour with average form,Could be better located but no problems,Removed,,Eucalyptus caesia, 
AC0073,9,4,-31.99841555,115.8899385,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0074,10,6,-31.99839285,115.8872444,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Brachychiton populneus, 
AC0075,20,7,-31.99839832,115.8878438,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0076,21,14,-31.99840825,115.8889362,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0077,21,13,-31.99840585,115.8886359,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0078,4,4,-32.00229461,115.8871916,Bifurcation of trunk & good vigour,Could be better located but no problems,Removed,,Eucalyptus caesia, 
AC0079,10,5,-31.99839831,115.8877107,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0080,10,4,-31.99839847,115.8876938,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0081,6,4,-31.99839411,115.8872221,Good form with good vigour,Perfect suitability,Existing,,Eucalyptus caesia ssp. magna, 
AC0082,22,12,-31.99842461,115.8903586,Good form with average vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0083,10,2,-31.99840274,115.8877751,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0084,12,5,-31.99841969,115.8896349,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0085,18,4,-31.99840447,115.8878694,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0086,22,13,-31.99842567,115.8902852,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0087,14,3,-31.99840766,115.8880861,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0088,21,18,-31.99842693,115.8902226,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0089,14,3,-31.99840859,115.8878185,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0090,12,5,-31.9984112,115.8880841,Dead,Perfect suitability,Existing,,Pinus pinaster, 
AC0091,18,14,-31.99843596,115.8906386,Good form with good vigour,Could be better located but no problems,Existing,,Eucalyptus rudis, 
AC0092,20,12,-31.99843978,115.8910071,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0093,21,10,-31.99843571,115.8905405,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0094,10,4,-31.99841814,115.8884509,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0095,18,3,-31.9984194,115.8880987,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0096,24,13,-31.99842285,115.8883984,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0097,20,8,-31.99843681,115.8898012,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0098,24,15,-31.99842229,115.8880484,Good form with average vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0099,10,7,-31.99842894,115.8871691,Good form with good vigour,Perfect suitability,Existing,,Brachychiton populneus, 
AC0100,21,12,-31.99844133,115.8899976,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0101,8,3,-31.99842359,115.887712,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0102,18,15,-31.99845027,115.890715,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Eucalyptus rudis, 
AC0103,8,4,-31.99842615,115.8877115,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0104,18,8,-31.99843133,115.8882961,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0105,18,8,-31.99842902,115.8879556,Bifurcation of trunk & good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0106,23,17,-31.99842619,115.8876065,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0107,22,12,-31.99845574,115.8908518,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0108,16,7,-31.99843375,115.8883172,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0109,21,7,-31.9984301,115.8878878,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0110,10,6,-31.99843217,115.8879219,Good vigour with average form,Perfect suitability,Existing,,Pinus pinaster, 
AC0111,10,7,-31.99843539,115.8880714,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0112,20,7,-31.99843602,115.8878707,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0113,7,2,-31.99843717,115.8877543,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0114,10,3,-31.99843941,115.8877687,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0115,10,3,-31.99844117,115.8877696,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0116,6,3,-31.9984485,115.8882815,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
AC0117,9,4,-31.99844572,115.8877404,Good form with good vigour,Perfect suitability,Existing,,Pinus pinaster, 
